"CellType","marker"
"CD4-positive, alpha-beta T cell","GIMAP4"
"CD4-positive, alpha-beta T cell","ICAM3"
"CD4-positive, alpha-beta T cell","TRAF3IP3"
"CD4-positive, alpha-beta T cell","ARHGEF1"
"CD4-positive, alpha-beta T cell","EMB"
"CD4-positive, alpha-beta T cell","GRAP2"
"CD4-positive, alpha-beta T cell","FLT3LG"
"CD4-positive, alpha-beta T cell","S1PR4"
"CD4-positive, alpha-beta T cell","TC2N"
"CD4-positive, alpha-beta T cell","RASGRP1"
"CD4-positive, alpha-beta T cell","SCML4"
"CD4-positive, alpha-beta T cell","RGL4"
"CD4-positive, alpha-beta T cell","RPL10"
"CD4-positive, alpha-beta T cell","RPL13A"
"CD4-positive, alpha-beta T cell","RPL21"
"CD4-positive, alpha-beta T cell","RPS6"
"CD4-positive, alpha-beta T cell","RPL39"
"CD4-positive, alpha-beta T cell","CCL5"
"CD4-positive, alpha-beta T cell","RPS28"
"CD4-positive, alpha-beta T cell","RPL31"
"CD4-positive, alpha-beta T cell","RPS15"
"CD4-positive, alpha-beta T cell","RPL35A"
"CD4-positive, alpha-beta T cell","S100A4"
"CD4-positive, alpha-beta T cell","CXCR4"
"CD4-positive, alpha-beta T cell","GPR183"
"CD4-positive, alpha-beta T cell","ZFP36L2"
"CD4-positive, alpha-beta T cell","TSC22D3"
"CD4-positive, alpha-beta T cell","ARHGDIB"
"CD4-positive, alpha-beta T cell","CORO1A"
"CD4-positive, alpha-beta T cell","LDHB"
"CD4-positive, alpha-beta T cell","STK4"
"CD4-positive, alpha-beta T cell","ARL4C"
"CD4-positive, alpha-beta T cell","PPP2R5C"
"CD4-positive, alpha-beta T cell","PRDM1"
"CD4-positive, alpha-beta T cell","CXCR3"
"CD4-positive, alpha-beta T cell","ETS1"
"CD4-positive, alpha-beta T cell","PPP1R2"
"CD4-positive, alpha-beta T cell","DOK2"
"CD4-positive, alpha-beta T cell","GATA3"
"CD4-positive, alpha-beta T cell","EML4"
"CD4-positive, alpha-beta T cell","PBXIP1"
"CD4-positive, alpha-beta T cell","CNOT6L"
"CD4-positive, alpha-beta T cell","SLFN5"
"CD4-positive, alpha-beta T cell","GIMAP1"
"CD4-positive, alpha-beta T cell","CAMK4"
"CD4-positive, alpha-beta T cell","TESPA1"
"CD4-positive, alpha-beta T cell","IPCEF1"
"CD4-positive, alpha-beta T cell","TMSB4X"
"CD4-positive, alpha-beta T cell","EEF1A1"
"CD4-positive, alpha-beta T cell","RPS14"
"CD4-positive, alpha-beta T cell","RPL18A"
"CD4-positive, alpha-beta T cell","RPS3A"
"CD4-positive, alpha-beta T cell","RPL27A"
"CD4-positive, alpha-beta T cell","RPL37"
"CD4-positive, alpha-beta T cell","RPS16"
"CD4-positive, alpha-beta T cell","RPL6"
"CD4-positive, alpha-beta T cell","RPS21"
"CD4-positive, alpha-beta T cell","RPL27"
"CD4-positive, alpha-beta T cell","RPL22"
"CD4-positive, alpha-beta T cell","COTL1"
"CD4-positive, alpha-beta T cell","TXNIP"
"CD4-positive, alpha-beta T cell","CREM"
"CD4-positive, alpha-beta T cell","RAC2"
"CD4-positive, alpha-beta T cell","SAMSN1"
"CD4-positive, alpha-beta T cell","TOMM7"
"CD4-positive, alpha-beta T cell","TNFAIP3"
"CD4-positive, alpha-beta T cell","BIRC3"
"CD4-positive, alpha-beta T cell","ITGB2"
"CD4-positive, alpha-beta T cell","LIMD2"
"CD4-positive, alpha-beta T cell","CD48"
"CD4-positive, alpha-beta T cell","CARD16"
"CD4-positive, alpha-beta T cell","OCIAD2"
"CD4-positive, alpha-beta T cell","TNFRSF1B"
"CD4-positive, alpha-beta T cell","PTPN7"
"CD4-positive, alpha-beta T cell","ANKRD12"
"CD4-positive, alpha-beta T cell","SYNE2"
"CD4-positive, alpha-beta T cell","AAK1"
"CD4-positive, alpha-beta T cell","AQP3"
"CD4-positive, alpha-beta T cell","LEF1"
"CD4-positive, alpha-beta T cell","PSTPIP1"
"CD4-positive, alpha-beta T cell","SUSD3"
"CD4-positive, alpha-beta T cell","P2RY10"
"CD4-positive, alpha-beta T cell","PASK"
"CD4-positive, alpha-beta T cell","FBLN7"
"CD4-positive, alpha-beta T cell","RTKN2"
"CD4-positive, alpha-beta T cell","MAL"
"CD4-positive, alpha-beta T cell","RPLP1"
"CD4-positive, alpha-beta T cell","RPL41"
"CD4-positive, alpha-beta T cell","RPL3"
"CD4-positive, alpha-beta T cell","NOSIP"
"CD4-positive, alpha-beta T cell","TCF7"
"CD4-positive, alpha-beta T cell","MAF"
"CD4-positive, alpha-beta T cell","ICA1"
"CD4-positive, alpha-beta T cell","LDLRAP1"
"CD4-positive, alpha-beta T cell","LINC00649"
"CD4-positive, alpha-beta T cell","RPS18"
"CD4-positive, alpha-beta T cell","RPS19"
"CD4-positive, alpha-beta T cell","TPT1"
"CD4-positive, alpha-beta T cell","RPL7"
"CD4-positive, alpha-beta T cell","RPL12"
"CD4-positive, alpha-beta T cell","RPS20"
"CD4-positive, alpha-beta T cell","RPS10"
"CD4-positive, alpha-beta T cell","EEF1D"
"CD4-positive, alpha-beta T cell","CIB1"
"CD4-positive, alpha-beta T cell","ARID5B"
"CD4-positive, alpha-beta T cell","PRPF38B"
"CD4-positive, alpha-beta T cell","DENND2D"
"CD4-positive, alpha-beta T cell","TBC1D4"
"CD4-positive, alpha-beta T cell","TXK"
"CD4-positive, alpha-beta T cell","SC5D"
"CD4-positive, alpha-beta T cell","FAS"
"CD4-positive, alpha-beta T cell","LPIN2"
"CD4-positive, alpha-beta T cell","LTA"
"CD4-positive, alpha-beta T cell","TRABD2A"
"CD4-positive, alpha-beta T cell","HLA-A"
"CD4-positive, alpha-beta T cell","RPL29"
"CD4-positive, alpha-beta T cell","RPL4"
"CD4-positive, alpha-beta T cell","RNF19A"
"CD4-positive, alpha-beta T cell","CACYBP"
"CD4-positive, alpha-beta T cell","TNFRSF9"
"CD4-positive, alpha-beta T cell","PDCD4"
"CD4-positive, alpha-beta T cell","TNFAIP8"
"CD4-positive, alpha-beta T cell","G3BP2"
"CD4-positive, alpha-beta T cell","DEF6"
"CD4-positive, alpha-beta T cell","TTC39C"
"CD4-positive, alpha-beta T cell","RASAL3"
"CD4-positive, alpha-beta T cell","SLA2"
"CD4-positive, alpha-beta T cell","TNFSF14"
"CD4-positive, alpha-beta T cell","DGKA"
"CD4-positive, alpha-beta T cell","THEM4"
"CD4-positive, alpha-beta T cell","RGS14"
"CD4-positive, alpha-beta T cell","PBX4"
"CD4-positive, alpha-beta T cell","TNFSF8"
"CD4-positive, alpha-beta T cell","RPS4X"
"CD4-positive, alpha-beta T cell","APOBEC3G"
"CD4-positive, alpha-beta T cell","GNG2"
"CD4-positive, alpha-beta T cell","BIN2"
"CD4-positive, alpha-beta T cell","SYTL3"
"CD4-positive, alpha-beta T cell","RCSD1"
"CD4-positive, alpha-beta T cell","PDE3B"
"CD4-positive, alpha-beta T cell","KLRG1"
"CD4-positive, alpha-beta T cell","ANXA2R"
"CD4-positive, alpha-beta T cell","PTGER4"
"CD4-positive, alpha-beta T cell","S1PR1"
"CD4-positive, alpha-beta T cell","TMIGD2"
"CD4-positive, alpha-beta T cell","LY9"
"CD4-positive, alpha-beta T cell","INPP4B"
"CD4-positive, alpha-beta T cell","TMC8"
"CD4-positive, alpha-beta T cell","NELL2"
"CD4-positive, alpha-beta T cell","GPRIN3"
"CD4-positive, alpha-beta T cell","GIMAP6"
"CD4-positive, alpha-beta T cell","ALOX5AP"
"CD4-positive, alpha-beta T cell","SOCS1"
"CD4-positive, alpha-beta T cell","RHOF"
"CD4-positive, alpha-beta T cell","TSHZ2"
"CD4-positive, alpha-beta T cell","RNF125"
"CD4-positive, alpha-beta T cell","CHN1"
"CD4-positive, alpha-beta T cell","TRAF1"
"CD4-positive, alpha-beta T cell","DUSP16"
"CD4-positive, alpha-beta T cell","ITGB2-AS1"
"CD4-positive, alpha-beta T cell","CD226"
"CD4-positive, alpha-beta T cell","RAB33A"
"CD4-positive, alpha-beta T cell","RPL17"
"CD4-positive, alpha-beta T cell","TMEM123"
"CD4-positive, alpha-beta T cell","RPL26"
"CD4-positive, alpha-beta T cell","EIF3E"
"CD4-positive, alpha-beta T cell","NR3C1"
"CD4-positive, alpha-beta T cell","GALM"
"CD4-positive, alpha-beta T cell","CASP8"
"CD4-positive, alpha-beta T cell","APOBEC3H"
"CD4-positive, alpha-beta T cell","TIFA"
"CD4-positive, alpha-beta T cell","METTL8"
"CD4-positive, alpha-beta T cell","JAKMIP1"
"CD4-positive, alpha-beta T cell","IL12RB1"
"CD4-positive, alpha-beta T cell","AP3M2"
"CD4-positive, alpha-beta T cell","IL23A"
"CD4-positive, alpha-beta T cell","CCL20"
"CD4-positive, alpha-beta T cell","ICAM2"
"CD4-positive, alpha-beta T cell","CCDC167"
"CD4-positive, alpha-beta T cell","CYLD"
"CD4-positive, alpha-beta T cell","IL27RA"
"CD4-positive, alpha-beta T cell","PLEKHF1"
"CD4-positive, alpha-beta T cell","CPNE7"
"CD4-positive, alpha-beta T cell","SAMD3"
"CD4-positive, alpha-beta T cell","MIAT"
"CD4-positive, alpha-beta T cell","PIK3R1"
"CD4-positive, alpha-beta T cell","PMAIP1"
"CD4-positive, alpha-beta T cell","CD79B"
"CD4-positive, alpha-beta T cell","RUNX3"
"CD4-positive, alpha-beta T cell","PIM1"
"CD4-positive, alpha-beta T cell","IKZF1"
"CD4-positive, alpha-beta T cell","IKZF2"
"CD4-positive, alpha-beta T cell","NSG1"
"CD4-positive, alpha-beta T cell","GNA15"
"CD4-positive, alpha-beta T cell","GIMAP2"
"CD4-positive, alpha-beta T cell","BACH2"
"CD4-positive, alpha-beta T cell","MPZL3"
"CD4-positive, alpha-beta T cell","UGP2"
"CD4-positive, alpha-beta T cell","EVI2A"
"CD4-positive, alpha-beta T cell","ARID5A"
"CD4-positive, alpha-beta T cell","CDKN1B"
"CD4-positive, alpha-beta T cell","PLK3"
"CD4-positive, alpha-beta T cell","MRPL1"
"CD4-positive, alpha-beta T cell","CHD3"
"CD4-positive, alpha-beta T cell","CUL9"
"CD4-positive, alpha-beta T cell","THAP1"
"CD4-positive, alpha-beta T cell","AEN"
"CD4-positive, alpha-beta T cell","NOL12"
"CD4-positive, alpha-beta T cell","ACTR8"
"CD4-positive, alpha-beta T cell","LINC00954"
"CD4-positive, alpha-beta T cell","KLF6"
"CD4-positive, alpha-beta T cell","STK17B"
"CD4-positive, alpha-beta T cell","GBP2"
"CD4-positive, alpha-beta T cell","GSTK1"
"CD4-positive, alpha-beta T cell","RAP1A"
"CD4-positive, alpha-beta T cell","ODF2L"
"CD4-positive, alpha-beta T cell","TANK"
"CD4-positive, alpha-beta T cell","BCAS2"
"CD4-positive, alpha-beta T cell","NSA2"
"CD4-positive, alpha-beta T cell","FAM107B"
"CD4-positive, alpha-beta T cell","CMPK1"
"CD4-positive, alpha-beta T cell","BAZ1A"
"CD4-positive, alpha-beta T cell","THADA"
"CD4-positive, alpha-beta T cell","CMTM7"
"CD4-positive, alpha-beta T cell","SATB1"
"CD4-positive, alpha-beta T cell","DDHD1"
"CD4-positive, alpha-beta T cell","DEDD2"
"CD4-positive, alpha-beta T cell","PHTF2"
"CD4-positive, alpha-beta T cell","EPB41"
"CD4-positive, alpha-beta T cell","NMRK1"
"CD4-positive, alpha-beta T cell","R3HDM4"
"CD4-positive, alpha-beta T cell","ZNF394"
"CD4-positive, alpha-beta T cell","GRPEL1"
"CD4-positive, alpha-beta T cell","LIPE-AS1"
"CD4-positive, alpha-beta T cell","DBF4"
"CD4-positive, alpha-beta T cell","TBC1D19"
"CD4-positive, alpha-beta T cell","ZC3H8"
"CD4-positive, alpha-beta T cell","HELB"
"CD4-positive, alpha-beta T cell","CENPK"
"CD4-positive, alpha-beta T cell","ZBTB25"
"CD4-positive, alpha-beta T cell","LPAR2"
"CD4-positive, alpha-beta T cell","GALT"
"CD4-positive, alpha-beta T cell","POLR3E"
"CD4-positive, alpha-beta T cell","CERK"
"CD4-positive, alpha-beta T cell","CEP135"
"CD4-positive, alpha-beta T cell","AMMECR1"
"CD4-positive, alpha-beta T cell","ADPRM"
"CD4-positive, alpha-beta T cell","KLHDC7B"
"CD4-positive, alpha-beta T cell","ATP8B2"
"CD4-positive, alpha-beta T cell","MASTL"
"CD4-positive, alpha-beta T cell","ITPRIPL1"
"CD4-positive, alpha-beta T cell","RPS7"
"CD4-positive, alpha-beta T cell","TNIK"
"CD4-positive, alpha-beta T cell","ANP32B"
"CD4-positive, alpha-beta T cell","FKBP5"
"CD4-positive, alpha-beta T cell","TRADD"
"CD4-positive, alpha-beta T cell","CYTH1"
"CD4-positive, alpha-beta T cell","TMEM156"
"CD4-positive, alpha-beta T cell","OLFM2"
"CD4-positive, alpha-beta T cell","ASF1A"
"CD4-positive, alpha-beta T cell","NCK2"
"CD4-positive, alpha-beta T cell","EEF1G"
"CD4-positive, alpha-beta T cell","ADSL"
"CD4-positive, alpha-beta T cell","OXCT1"
